id;Source;url;nom;adresse;email;Type;latitude;longitude;insee_com;libgeo;dep;reg;epci;ze2010;lib_epci;lib_dep;lib_reg
5;Guide de la création;http://airdie.org;"													AIRDIE
													";1350 avenue Albert Einstein, Immeuble le Phénix 34 000 Montpellier;contact@airdie.org;Aide et accompagnement, Financement, Economie Sociale;43,610191;3,913547;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
18;Guide de la création;http://www.bgelr.fr/;"													BGE Montpellier
													";3 rue Pagezy 34 000 Montpellier;bge.montpellier@orange.fr;Aide et accompagnement, Formalités administratives, Formation;43,604895;3,879177;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
34;Guide de la création;NA;"													Cap alpha
													";Avenue de l'Europe - Clapiers 34 940 Montpellier Cedex 9;p.reeb@montpellier-agglo.com;Aide et accompagnement, Implantation;43,635123;3,822638;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
68;Guide de la création;http://www.cidff-34.com;"													Centre d'information sur les droits des femmes et des familles de l'Hérault
													";2 rue de la Vieille 34 000 Montpellier;cidf.herault@wanadoo.fr;Aide et accompagnement, Formation, Juridique, Economie Sociale;43,609712;3,877014;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
73;Guide de la création;http://www.cma-herault.fr;"													Chambre de Métiers et de l'Artisanat de l'Hérault
													";154 rue Bernard-Giraudeau, CS 59999 34 187 Montpellier Cedex 4;chambredemetiers@cma-herault.fr;Aide et accompagnement, Experts et conseils, Formalités administratives, Formation;43,62264;3,822416;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
85;Guide de la création;http://www.claude-triquere.fr;"													Claude TRIQUERE
													";55 rue Georges Brassens 34 730 Montpellier;claude.triquere@aliceadsl.fr;Experts et conseils, Formation;43,594507;3,863981;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
88;Guide de la création;http://www.crcc-montpellier.fr;"													Compagnie régionale des commissaires aux comptes - Montpellier
													";Immeuble APEX, 661 rue Louis-Lépine 34 000 Montpellier;crccmontpellier@wanadoo.fr;Experts et conseils, Formalités administratives;43,613999;3,91357;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
111;Guide de la création;http://www.contextart.org;"													Couveuse Context'Art
													";3 rue Pagezy 34 000 Montpellier;couveuse@contextart.org;Aide et accompagnement, Implantation;43,604895;3,879177;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
118;Guide de la création;http://www.crealia.org;"													Créalia-Association LRTI
													";Immeuble le Phénix, 1350 avenue Albert Einstein - Zone du Millénaire 34 000 Montpellier;laure.lenzotti@crealia.org;Aide et accompagnement, Financement, Economie Sociale;43,607851;3,8896;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
119;Guide de la création;http://www.creslr.org et www.coventis.org;"													CRESS - Chambre Régionale de l'Economie Sociale et Solidaire - Languedoc-Roussillon
													";Immeuble Le Richemont, 1047 avenue Villeneuve d'Angoulème 34 070 Montpellier;contact@cresslr.org;Aide et accompagnement, Economie Sociale;43,592033;3,866725;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
131;Guide de la création;NA;"													Euro info Centre
													";Résidence Majestic - Bât. 1, 273 avenue de la Pompignane 34 961 Montpellier Cedex 2;internationnal@langedoc-roussillon.cci.fr;Aide et accompagnement;43,608496;3,898779;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
146;Guide de la création;http://www.greffe-tc-montpellier.fr;"													Greffe du Tribunal de Commerce de Montpellier - Hérault
													";9 rue de Tarragone 34 070 Montpellier;rcs1.montpellier@greffe-tc.net;Formalités administratives, Juridique;43,605303;3,886366;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
177;Guide de la création;http://www.inpi.fr;"													INPI
													";C/O DIRECCTE, 615 boulevard d'Antigone CS 19002 34 064 Montpellier Cedex 2;occitanie-montpellier@inpi.fr;Aide et accompagnement, Experts et conseils, Formalités administratives, Juridique;43,609081;3,890517;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
182;Guide de la création;http://www.maisondesentreprises.fr;"													La maison des entreprises
													";5 rue de la Lucque, ZAE La Garrigue 34 725 Saint-André-de-Sangonis;pasquier@mde.asso.fr;Aide et accompagnement, Implantation;43,644829;3,916236;34057;Castelnau-le-Lez;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
183;Guide de la création;http://www.lrset.org;"													Languedoc Roussillon Sport Tourisme Emploi
													";1039 rue Georges Méliès 34 000 Montpellier;contact@lrset.org;Aide et accompagnement;43,607161;3,924388;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
184;Guide de la création;http://www.lr-incubation.com;"													Languedoc-Roussillon Incubation
													";Université Montpellier 2 - Place Eugène Bataillon, CC 483 34 095 Montpellier Cedex 5;info@lr-incubation.com;Aide et accompagnement, Implantation;43,631744;3,86034;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
189;Guide de la création;http://www.melies.fr;"													MELIES Buisiness Angels
													";Bureau CAP OMEGA, Rond-point Benjamin Franklin CS 39521 34 960 Montpellier Cedex 2;secretariat@melies.fr;Financement;43,619017;3,913261;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
194;Guide de la création;NA;"													Mistral investissement
													";Le Stratégie Concept, Bât. 3 - ZA du Millénaire 34 000 Montpellier;mistral.invest@wanadoo.fr;Aide et accompagnement, Financement;43,610378;3,877333;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
195;Guide de la création;http://www.montpellier-technopole.com;"													Montpellier Mediterranée Technopole
													";50 place Zeus, CS 39521 34 960 Montpellier Cedex 2;technopole@montpellier-agglo.com;Aide et accompagnement, Implantation;43,607913;3,890774;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
222;Guide de la création;http://www.oec-montpellier.org;"													Ordre des Experts-Comptables Région Montpellier
													";Immeuble APEX, 661 rue Louis-Lépine - BP 31175 34 009 Montpellier Cedex 1;cro@oec-montpellier.org;Experts et conseils, Formalités administratives, Juridique;43,613999;3,91357;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
248;Guide de la création;http://www.pfca34.org;"													Plate-forme de la création d'activités de l'Hérault
													";Les Pyramides d'Alco, 856 rue d'Alco 34 080 Montpellier;contact@pfca34.org. ;Aide et accompagnement;43,618558;3,838984;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
261;Guide de la création;http://www.reseau-entreprendre.org/languedoc-roussillon;"													Réseau Entreprendre Languedoc-Roussillon
													";199 rue Hélène Boucher, Parc Mermoz le Millénaire 34 170 Castelnau le Lez;languedoc-roussillon@reseau-entreprendre.org;Aide et accompagnement, Financement;43,608409;3,917849;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
268;Guide de la création;NA;"													Sofilaro
													";Avenue de Montpellieret-Morin 34 977 Lattes;gilbert.haase@ca-langedoc.fr;Aide et accompagnement, Formalités administratives;43,568303;3,879666;34129;Lattes;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
269;Guide de la création;http://www.soridec.fr;"													Soridec
													";Immeuble Le Phidias, 183 avenue Henri Becquerel 34 000 Montpellier;contact@soridec.fr;Aide et accompagnement, Financement;43,616953;3,914105;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
270;Guide de la création;http://www.unicer.asso.fr;"													SORIDEC
													";Résidence l'Acropole, 954 avenue Jean Mermoz 34 000 Montpellier;breligieux@soridec.fr;Financement;43,609874;3,892418;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
276;Guide de la création;http://www.scop-lr.coop;"													Union régionale des Scop Languedoc-Roussillon
													";Hôtel de la coopération, 55 rue Saint Cléophas 34 070 Montpellier;urlanguedoc@scop.coop;Aide et accompagnement, Financement, Economie Sociale;43,59684;3,872785;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
277;Guide de la création;NA;"													UREI Languedoc-Roussillon - Union Régionale des Entreprises d'Insertion
													";69 impasse Mac Gaffey 34 070 Montpellier;urei-lr@wanadoo.fr;Aide et accompagnement, Formation, Economie Sociale;43,597007;3,842309;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
327;unapl;;UNAPL LANGUEDOC-ROUSSILLON;285 rue Alfred Nobel 34000 MONTPELLIER;unapl-lr@unapl-lr.org;;43,613948;3,912092;34172;Montpellier;34;76;243400017;9111;Montpellier Méditerranée Métropole;Hérault;Occitanie
